video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7338896641455410478,2024-02-23T15:27:40,57.0,US,,6440.0,380.0,776.0,102200.0,"Far-right conspiracy theorist Jack Posobiec told a crowd gathered at the Conservative Political Action Conference that his goal is to “overthrow” democracy and replace it with a Christian-based ideology, gesturing to a crucifix necklace in his hand. CNN's SE Cupp shares how this signals a “total upheaval” of conservative orthodoxy. #cpac #jackposobiec #secupp #cnn #news",False,,cnn,CNN,,,,,,True
7338746501423811886,2024-02-23T05:44:51,314.0,US,,376.0,525.0,0.0,12700.0,One of the most important things to understand in 2024 #bitcoin #ethereum #defi #money #cryptocurrency #fed #government #elsalvador #usa #president ,False,,cryptoisaac.pls,cryptoisaac.pls,,,,,,False
7206727872353144110,2023-03-04T11:25:03,7.0,US,,570.0,51.0,274.0,18700.0,Shows how unpopular their ideology is… Sorry YAF 💀 #CPAC #youngamericasfoundation  ,False,,imcolesmith,Cole Smith,,,,,,False
6894668862395141381,2020-11-13T12:57:21,26.0,US,,2553.0,141.0,19.0,38800.0,I’m Stephen Miller #borat #borat2 #boratapv #fyp #foryou #foryoupage #sachabaroncohen #kazakhstan #CPAC #conservative #republican #trump2020 #pence,False,,borat.clips,Borat Sagdiyev,,,,,,False
7206846085363469610,2023-03-04T19:03:40,33.0,US,,1929.0,77.0,75.0,13500.0,may our love always be louder than their hate . i stand with you always #transrightsarehumanrights #transtok #cpac #conservativetiktok #queertiktok #theresnothingwrongwithyou #michaelknowles #wrabelthevillage #thedailywire #exvangelical #transrights #transally ,False,,wrabelofficial,wrabel ( /‘rā•bəl/ ),,,,,,True
7207513864806599982,2023-03-06T14:15:12,67.0,US,,25800.0,2675.0,4107.0,304000.0,"CPAC speaker Michael Knowles said that transgenderism should be 'eradicated,' amid the seemingly nonstop legislative push from Republicans across the U.S. to cut trans rights.",False,,vicenewsdocs,VICE News Docs,,,,,,True
7128420707087830315,2022-08-05T11:53:03,89.0,US,,67000.0,2367.0,8229.0,989600.0,"The MAGA crowd at the Conservative Political Action Conference (CPAC) swooned over guest speaker Viktor Orbán, Hungary’s authoritarian leader who is against a “mixed-race” society.  Many in the crowd said they were inspired by his words. “I don’t want the world here either,” an attendee told VICE News.  #maga #viktororban #hungary #cpac #conservative #politics",False,,vicenewsdocs,VICE News Docs,,,,,,True
7339247146669018410,2024-02-24T14:07:47,13.0,US,,35.0,5.0,9.0,769.0,#democrats #republicans #democracy #politics #cpac #blacktiktokcommunity #blacktiktok #blackwomen #blackmen #blackfamilies #africanamerican #blackamerican ,False,,mirikac,The Mirika C Blueprint,,,,,,False
7338574707479924014,2024-02-22T18:38:06,43.0,US,,294.0,4.0,23.0,1908.0,#border #anerica #forbes #2024 #greatwhitehope,False,,dystopianlemur,DystopianLemur,,,,,,False
7207130742889925934,2023-03-05T13:28:27,55.0,US,,719.0,14.0,68.0,3991.0,#stitch with @wrabelofficial ,False,,radicalleftish,“Radical Left”,,,,,,False
7338896641455410478,2024-02-23T15:27:40,57.0,US,,6440.0,380.0,776.0,102200.0,"Far-right conspiracy theorist Jack Posobiec told a crowd gathered at the Conservative Political Action Conference that his goal is to “overthrow” democracy and replace it with a Christian-based ideology, gesturing to a crucifix necklace in his hand. CNN's SE Cupp shares how this signals a “total upheaval” of conservative orthodoxy. #cpac #jackposobiec #secupp #cnn #news",False,,cnn,CNN,,,,,,True
7338746501423811886,2024-02-23T05:44:51,314.0,US,,376.0,525.0,0.0,12700.0,One of the most important things to understand in 2024 #bitcoin #ethereum #defi #money #cryptocurrency #fed #government #elsalvador #usa #president ,False,,cryptoisaac.pls,cryptoisaac.pls,,,,,,False
7206727872353144110,2023-03-04T11:25:03,7.0,US,,570.0,51.0,274.0,18700.0,Shows how unpopular their ideology is… Sorry YAF 💀 #CPAC #youngamericasfoundation  ,False,,imcolesmith,Cole Smith,,,,,,False
6894668862395141381,2020-11-13T12:57:21,26.0,US,,2553.0,141.0,19.0,38800.0,I’m Stephen Miller #borat #borat2 #boratapv #fyp #foryou #foryoupage #sachabaroncohen #kazakhstan #CPAC #conservative #republican #trump2020 #pence,False,,borat.clips,Borat Sagdiyev,,,,,,False
7211529322430025003,2023-03-17T10:57:05,80.0,US,,161.0,6.0,35.0,2723.0,"At last week's Conservative Political Action Conference (CPAC), Colorado Representative Lauren Boebert told the crowd she's going to be a grandmother and praised rural conservative communities for ""valuing life."" The announcement turned many heads since Boebert isn't just a pro-life advocate. She also opposes comprehensive sex education and contraception—two things that have been proven to reduce teen pregnancy rates. How should we approach the topic of teen pregnancy? #Education #NYC #SixteenAndPregnant #LostDebate #WomensHealth #TeenPregnancy ",False,,thebranchmedia,The Branch,,,,,,False
7206846085363469610,2023-03-04T19:03:40,33.0,US,,1929.0,77.0,75.0,13500.0,may our love always be louder than their hate . i stand with you always #transrightsarehumanrights #transtok #cpac #conservativetiktok #queertiktok #theresnothingwrongwithyou #michaelknowles #wrabelthevillage #thedailywire #exvangelical #transrights #transally ,False,,wrabelofficial,wrabel ( /‘rā•bəl/ ),,,,,,True
7207513864806599982,2023-03-06T14:15:12,67.0,US,,25800.0,2675.0,4107.0,304000.0,"CPAC speaker Michael Knowles said that transgenderism should be 'eradicated,' amid the seemingly nonstop legislative push from Republicans across the U.S. to cut trans rights.",False,,vicenewsdocs,VICE News Docs,,,,,,True
7128420707087830315,2022-08-05T11:53:03,89.0,US,,67000.0,2367.0,8229.0,989600.0,"The MAGA crowd at the Conservative Political Action Conference (CPAC) swooned over guest speaker Viktor Orbán, Hungary’s authoritarian leader who is against a “mixed-race” society.  Many in the crowd said they were inspired by his words. “I don’t want the world here either,” an attendee told VICE News.  #maga #viktororban #hungary #cpac #conservative #politics",False,,vicenewsdocs,VICE News Docs,,,,,,True
7339571730676976938,2024-02-25T11:07:24,45.0,US,,55.0,9.0,13.0,2247.0,Donald Trump Speech At CPAC 2024 🦅 Societal Collapse Under Biden 😨 Clip of President Donald Trump speaking at the 2024 Conservative Political Action Conference discussing the importance of the 2024 election and the consequences of another Biden presidency 💀 #trump #politics #cpac #republicans #MAGA,False,,triggeredtees,Triggered Tees,,,,,,False
7339247146669018410,2024-02-24T14:07:47,13.0,US,,35.0,5.0,9.0,769.0,#democrats #republicans #democracy #politics #cpac #blacktiktokcommunity #blacktiktok #blackwomen #blackmen #blackfamilies #africanamerican #blackamerican ,False,,mirikac,The Mirika C Blueprint,,,,,,False
7338574707479924014,2024-02-22T18:38:06,43.0,US,,294.0,4.0,23.0,1908.0,#border #anerica #forbes #2024 #greatwhitehope,False,,dystopianlemur,DystopianLemur,,,,,,False
7207130742889925934,2023-03-05T13:28:27,55.0,US,,719.0,14.0,68.0,3991.0,#stitch with @wrabelofficial ,False,,radicalleftish,“Radical Left”,,,,,,False
7338896641455410478,2024-02-23T15:27:40,57.0,US,,6440.0,380.0,776.0,102200.0,"Far-right conspiracy theorist Jack Posobiec told a crowd gathered at the Conservative Political Action Conference that his goal is to “overthrow” democracy and replace it with a Christian-based ideology, gesturing to a crucifix necklace in his hand. CNN's SE Cupp shares how this signals a “total upheaval” of conservative orthodoxy. #cpac #jackposobiec #secupp #cnn #news",False,,cnn,CNN,,,,,,True
7338746501423811886,2024-02-23T05:44:51,314.0,US,,376.0,525.0,0.0,12700.0,One of the most important things to understand in 2024 #bitcoin #ethereum #defi #money #cryptocurrency #fed #government #elsalvador #usa #president ,False,,cryptoisaac.pls,cryptoisaac.pls,,,,,,False
7206727872353144110,2023-03-04T11:25:03,7.0,US,,570.0,51.0,274.0,18700.0,Shows how unpopular their ideology is… Sorry YAF 💀 #CPAC #youngamericasfoundation  ,False,,imcolesmith,Cole Smith,,,,,,False
6894668862395141381,2020-11-13T12:57:21,26.0,US,,2553.0,141.0,19.0,38800.0,I’m Stephen Miller #borat #borat2 #boratapv #fyp #foryou #foryoupage #sachabaroncohen #kazakhstan #CPAC #conservative #republican #trump2020 #pence,False,,borat.clips,Borat Sagdiyev,,,,,,False
7211529322430025003,2023-03-17T10:57:05,80.0,US,,161.0,6.0,35.0,2723.0,"At last week's Conservative Political Action Conference (CPAC), Colorado Representative Lauren Boebert told the crowd she's going to be a grandmother and praised rural conservative communities for ""valuing life."" The announcement turned many heads since Boebert isn't just a pro-life advocate. She also opposes comprehensive sex education and contraception—two things that have been proven to reduce teen pregnancy rates. How should we approach the topic of teen pregnancy? #Education #NYC #SixteenAndPregnant #LostDebate #WomensHealth #TeenPregnancy ",False,,thebranchmedia,The Branch,,,,,,False
7206846085363469610,2023-03-04T19:03:40,33.0,US,,1929.0,77.0,75.0,13500.0,may our love always be louder than their hate . i stand with you always #transrightsarehumanrights #transtok #cpac #conservativetiktok #queertiktok #theresnothingwrongwithyou #michaelknowles #wrabelthevillage #thedailywire #exvangelical #transrights #transally ,False,,wrabelofficial,wrabel ( /‘rā•bəl/ ),,,,,,True
