video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
6884964731921173766,2020-10-18T10:21:04,9.0,US,,16.0,0.0,2.0,747.0,ONLY people with a 208 IQ can see it. Click follow to receive the answer 😲 #alfatah,False,,massivememehub,Follow for a chocolate cookie,,,,,,False
6987410534706449691,2021-07-21T12:01:35,67.0,ID,,106.0,1.0,4.0,3309.0,Pesantren AL-FATAH,False,,bobmaulana777,Bob,,,,,,False
7232908406363917574,2023-05-14T01:38:43,64.0,ID,,39.0,1.0,8.0,1493.0,#bersyukur ,False,,krisnafirizkiana,Krisna Firizkiana,,,,,,False
7253096974545734938,2023-07-07T11:20:47,40.0,BE,,771.0,28.0,1.0,14600.0,Fatah - Als Ik Daar Sta. /RealTalk💯 #fatah #ftf #principes #rap #rapnl #lijpemusic #sevnalias #realtalk ,False,,world_movie_,WORLD MOVIE,,,,,,False
7232285401296260378,2023-05-12T09:21:17,16.0,ID,,256.0,8.0,28.0,4178.0,Gedung AL FATAH #Alfatah #temboro #tempatpertemuan,False,,ayoem_,Ayoem praja mukty,,,,,,False
7195108249203428634,2023-02-01T03:54:50,0.0,PK,,65.0,1.0,1.0,2702.0,Al-Fatah now coming at Sufi City🥳🤩#CapCut #suficity #sufi_city #suficitymandibahuudin #housingsociety #realestate #alfatah #foryoupage #foryou #suficitymandibhudin #mandibahauddin ,False,,sufi_city,Sufi City,,,,,,False
7353247145769716998,2024-04-02T08:34:30,10.0,ID,,6.0,0.0,0.0,302.0,Al-fatah👈,False,,santihelwa7,?,,,,,,False
7324658555636894982,2024-01-16T06:36:10,62.0,ID,,18.0,0.0,0.0,2147.0,ponpes Al Fatah #al fatah#fyp #fypシ゚viral ,False,,asyiknyabelajar6,Arie;,,,,,,False
7194147054082444550,2023-01-29T13:44:52,82.0,TN,,8842.0,256.0,70.0,142900.0,#curvasud #jomhour_tataji #jomhour #esperance_sportive_du_tunise #taraji #rades #virage #tiktok ,False,,rayenzoghlami2,Rayen,,,,,,False
7342814460538555656,2024-03-05T04:50:22,85.0,MY,,30.0,2.0,0.0,4090.0,#blackheadsremoval#balckheadremoverwith3gear#removeblackheadmurah#racuntiktokshop#tekanbegkuningtiktokshop👇👇 ,False,,al.fatah91,Al Fatah,,,,,,False
