,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,search_term,year
312,7200825510606392622,2023-02-16T13:40:51,44.0,US,,792.0,139.0,21.0,37900.0,"When a loved one need 24/7 care, the shared cost of a group home is the best option!  .  ‼️Follow our account for more tips on building an assisted living real estate business‼️ . #b#businessownera#assistedlivinge#eldercaree#entrepreneuri#inhomecareh#homecarer#residentsr#residentials#successl#livingl#livingathomeh#homey#youf#familyn#nursem#marketingr#ralr#ralacademym#mentorn#networkp#professionalc#createt#tracke#entrepreneuri#integrityr#residentialassistedlivingacademya#assistedlivingresidentialassi",False,,ral.academy,RALAcademy,,,,,,False,Elder Care,2020
313,7228338021349821738,2023-05-01T18:03:28,93.0,US,"Elderly Care, Care Givers, exercises, Caregivers Of TikTok, Training Motivation, Working As A Caregiver, Caregiver Life, Positive Motivation, Life As A Caregiver, Duties Of A Caregiver",1067.0,360.0,8.0,40400.0,#growingraceseniorliving #elderlycare #elderlyexercises #everydayisfunwithyou #mondaymotivation #caregiver #elderlyoftiktok ,False,,growingraceseniorliving,Kim,,,,,,False,Elder Care,2020
314,7148631562228092203,2022-09-28T23:01:34,148.0,US,"Elderly Care, Deodorant, Nurse Deodorant, Health Tips, Caregiving, Aluminum Free Deodorant, Body Deodorant, Care Givers, Nurse TikTok, roll on deodorant",32600.0,5542.0,442.0,428800.0,#TheElderly #elderlycaregiving  #t#takingcareoftheelderly#t#tipsandtricks#h#healthtipstiktok#h#healthytips#D#Deodorant#d#deodoranthackh#healthytipseverydaye#elderlyparent#e#elderlypeople#e#elderlycare,False,,tampaschall,🌹TammyPaschall🌹,,,,,,False,Elder Care,2020
315,7306350455871835438,2023-11-27T22:31:35,25.0,US,,36200.0,933.0,4972.0,676000.0,This is the conversation  we need to start having #eldercare ,False,,wellwithtiffany,Tiffany | 40+ Creator,,,,,,False,Elder Care,2020
316,7250545126349589806,2023-06-30T14:18:22,22.0,US,"old couples, cute old couple, old couples arguing, grandparents on couch ipad, when shes on her ipad shes in another world, old couple sitting on couch, couples, Cute Couples, cute couple videos, couples tiktok videos",1300000.0,166300.0,5668.0,8700000.0,"It's Feel Good Friday! Get ready to have your heart warmed and your spirits lifted by this delightful couple. Watch as they playfully banter and bring joy to each other's lives. Let their love and laughter inspire you to cherish the simple moments that make life beautiful. Share your own favorite feel-good moments, activities, or memories in the comments below. Let's spread the positivity and celebrate the power of love! ❤️😊 #FeelGoodFriday #ElderlyLove #SpreadPositivity #cutecouples #eldercare #bringjoy #cherisheverymoment #poweroflove #inspiredaily #heartwarming #liftyourspirits #weekendvibes #weekendparty #4thofjulyparty ",False,,boostyourmoodapp,Boost Your Mood,,,,,,False,Elder Care,2020
317,7288471680991677739,2023-10-10T19:12:45,51.0,US,,3778.0,183.0,33.0,34400.0,For those who may not know💜 #powerofattorney #poa #eldercare ,False,,momofmymom,💜MomOfMyMom💜,,,,,,False,Elder Care,2020
318,7297075624433192223,2023-11-02T23:40:22,205.0,US,"nursing home abuse, Caregiver, Elderly Care, Caregivers Of TikTok, Nursing Homes, Caregiver Job, Nursing, Duties Of A Caregiver, Caregiver Life, Working As A Caregiver",2744.0,279.0,298.0,184900.0,Poor women :( #fyp #caregiver #viralvideo #blowthis #awareness #nursinghome #trends #elderlycare #mistreating #pooremployee #staff ,False,,desireerenee.12,Ð 🩵,,,,,,False,Elder Care,2020
319,7263051899857882411,2023-08-03T07:11:04,53.0,US,"Elderly Care, real estate, Salary, Working As A Real Estate, Real Estate Career, Care Assistant Life, Budgeting My Monthly Salary, Starting A Assisted Care Living, Luxury Real Estate, real estate beginners",4218.0,1391.0,285.0,86600.0,You can be very profitable in the Residential Assisted Living Facility industry‼️  #eldercare #realestate #assistedlivinglife #seniorcare #elderlycare ,False,,perfectlyflawed0902,perfectlyflawed,,,,,,False,Elder Care,2020
320,7120472446142090538,2022-07-15T01:49:56,79.0,US,"Elderly Care, Dementia Funny Videos, Health Care Workers, Health care, Care Givers, Working As A Caregiver, Life As A Caregiver, Aged Care Job",690.0,38.0,22.0,33600.0,#dementiacare #elderlycare,False,,srossmom,Stacey Ross,,,,,,False,Elder Care,2020
321,7253831977797782786,2023-07-09T10:52:54,120.0,AU,"elderly neglect, abusive parenting caught on camera, arcare aged care in australia mistreated, Elderly Care, Home Care, Care Givers, Health Care Workers, Aged Care Job, arcare aged care in australia, Home Health Care",13000.0,578.0,1289.0,740400.0,Please sign this petition to help protect our elderly in care homes! They must be protected #carehome #neglect #care #carer #carersoftiktok #aged #agedcare #agedcareworkersaustralia #brutal #fypシ゚viral #fypシ #fyp #fy #viraltiktok #viralvideo #viralnews #viral #ausnews #petition #urge #act      https://chng.it/tQ6q6zy4,False,,feelgreataustralians,Feel great with YJ,,,,,,False,Elder Care,2020
322,7133539331616132354,2022-08-19T06:56:08,15.0,AU,"age care worker, sad tiktoks to make you cry, old people sad, try not to cry, aged care job, videos that will make you cry, age care job saying good bye, saying goodbye to your aged care job, cna, sad goodbye",6700000.0,32900.0,27900.0,27700000.0,not the first time she’s made me cry 😭   #agedcare #elderly #goodbyes #cna ,False,,sweetpotatohippapotamus,jessicajoyharris,,,,,,False,Elder Care,2020
323,7280749390447299883,2023-09-19T23:46:14,297.0,US,,62300.0,1948.0,8629.0,663800.0,She vents. #alzheimers #elderlycaregiver #dementia #agingparents #longtermcare #alzheimerscaregiver #elderlycare ,False,,ciscoflapjacks,Laura,,,,,,False,Elder Care,2020
324,7200825510606392622,2023-02-16T13:40:51,44.0,US,,792.0,139.0,21.0,37900.0,"When a loved one need 24/7 care, the shared cost of a group home is the best option!  .  ‼️Follow our account for more tips on building an assisted living real estate business‼️ . #b#businessownera#assistedlivinge#eldercaree#entrepreneuri#inhomecareh#homecarer#residentsr#residentials#successl#livingl#livingathomeh#homey#youf#familyn#nursem#marketingr#ralr#ralacademym#mentorn#networkp#professionalc#createt#tracke#entrepreneuri#integrityr#residentialassistedlivingacademya#assistedlivingresidentialassi",False,,ral.academy,RALAcademy,,,,,,False,Elder Care,2020
325,7228338021349821738,2023-05-01T18:03:28,93.0,US,"Elderly Care, Care Givers, exercises, Caregivers Of TikTok, Training Motivation, Working As A Caregiver, Caregiver Life, Positive Motivation, Life As A Caregiver, Duties Of A Caregiver",1067.0,360.0,8.0,40400.0,#growingraceseniorliving #elderlycare #elderlyexercises #everydayisfunwithyou #mondaymotivation #caregiver #elderlyoftiktok ,False,,growingraceseniorliving,Kim,,,,,,False,Elder Care,2020
326,7148631562228092203,2022-09-28T23:01:34,148.0,US,"Elderly Care, deodorant, Nurse Deodorant, Health Tips, Caregiving, aluminum free deodorant, Body Deodorant, Care Givers, Nurse TikTok, roll on deodorant",32600.0,5542.0,442.0,428800.0,#TheElderly #elderlycaregiving  #t#takingcareoftheelderly#t#tipsandtricks#h#healthtipstiktok#h#healthytips#D#Deodorant#d#deodoranthackh#healthytipseverydaye#elderlyparent#e#elderlypeople#e#elderlycare,False,,tampaschall,🌹TammyPaschall🌹,,,,,,False,Elder Care,2020
327,7306350455871835438,2023-11-27T22:31:35,25.0,US,,36200.0,933.0,4972.0,676000.0,This is the conversation  we need to start having #eldercare ,False,,wellwithtiffany,Tiffany | 40+ Creator,,,,,,False,Elder Care,2020
328,7250545126349589806,2023-06-30T14:18:22,22.0,US,"old couples, cute old couple, old couples arguing, grandparents on couch ipad, when shes on her ipad shes in another world, old couple sitting on couch, couples, Cute Couples, cute couple videos, couples tiktok videos",1300000.0,166300.0,5668.0,8700000.0,"It's Feel Good Friday! Get ready to have your heart warmed and your spirits lifted by this delightful couple. Watch as they playfully banter and bring joy to each other's lives. Let their love and laughter inspire you to cherish the simple moments that make life beautiful. Share your own favorite feel-good moments, activities, or memories in the comments below. Let's spread the positivity and celebrate the power of love! ❤️😊 #FeelGoodFriday #ElderlyLove #SpreadPositivity #cutecouples #eldercare #bringjoy #cherisheverymoment #poweroflove #inspiredaily #heartwarming #liftyourspirits #weekendvibes #weekendparty #4thofjulyparty ",False,,boostyourmoodapp,Boost Your Mood,,,,,,False,Elder Care,2020
329,7288471680991677739,2023-10-10T19:12:45,51.0,US,,3778.0,183.0,33.0,34400.0,For those who may not know💜 #powerofattorney #poa #eldercare ,False,,momofmymom,💜MomOfMyMom💜,,,,,,False,Elder Care,2020
330,7297075624433192223,2023-11-02T23:40:22,205.0,US,"nursing home abuse, caregiver, Elderly Care, Caregivers Of TikTok, Nursing Homes, Caregiver Job, Nursing, Duties Of A Caregiver, Caregiver Life, Working As A Caregiver",2744.0,279.0,298.0,184900.0,Poor women :( #fyp #caregiver #viralvideo #blowthis #awareness #nursinghome #trends #elderlycare #mistreating #pooremployee #staff ,False,,desireerenee.12,Ð 🩵,,,,,,False,Elder Care,2020
331,7263051899857882411,2023-08-03T07:11:04,53.0,US,"Elderly Care, real estate, Salary, Working As A Real Estate, Real Estate Career, Care Assistant Life, Budgeting My Monthly Salary, Starting A Assisted Care Living, Luxury Real Estate, real estate beginners",4218.0,1391.0,285.0,86600.0,You can be very profitable in the Residential Assisted Living Facility industry‼️  #eldercare #realestate #assistedlivinglife #seniorcare #elderlycare ,False,,perfectlyflawed0902,perfectlyflawed,,,,,,False,Elder Care,2020
332,7120472446142090538,2022-07-15T01:49:56,79.0,US,"Elderly Care, Dementia Funny Videos, Health Care Workers, Health care, Care Givers, Working As A Caregiver, Life As A Caregiver, Aged Care Job",690.0,38.0,22.0,33600.0,#dementiacare #elderlycare,False,,srossmom,Stacey Ross,,,,,,False,Elder Care,2020
333,7253831977797782786,2023-07-09T10:52:54,120.0,AU,"elderly neglect, abusive parenting caught on camera, arcare aged care in australia mistreated, Elderly Care, Home Care, Care Givers, Health Care Workers, Aged Care Job, arcare aged care in australia, Home Health Care",13000.0,578.0,1289.0,740400.0,Please sign this petition to help protect our elderly in care homes! They must be protected #carehome #neglect #care #carer #carersoftiktok #aged #agedcare #agedcareworkersaustralia #brutal #fypシ゚viral #fypシ #fyp #fy #viraltiktok #viralvideo #viralnews #viral #ausnews #petition #urge #act      https://chng.it/tQ6q6zy4,False,,feelgreataustralians,Feel great with YJ,,,,,,False,Elder Care,2020
334,7133539331616132354,2022-08-19T06:56:08,15.0,AU,"age care worker, sad tiktoks to make you cry, try not to cry, old people sad, aged care job, videos that will make you cry, age care job saying good bye, CNA, saying goodbye to your aged care job, sad goodbye",6700000.0,32900.0,27900.0,27700000.0,not the first time she’s made me cry 😭   #agedcare #elderly #goodbyes #cna ,False,,sweetpotatohippapotamus,jessicajoyharris,,,,,,False,Elder Care,2020
335,7280749390447299883,2023-09-19T23:46:14,297.0,US,,62300.0,1948.0,8629.0,663800.0,She vents. #alzheimers #elderlycaregiver #dementia #agingparents #longtermcare #alzheimerscaregiver #elderlycare ,False,,ciscoflapjacks,Laura,,,,,,False,Elder Care,2020
336,7200825510606392622,2023-02-16T13:40:51,44.0,US,,792.0,139.0,21.0,37900.0,"When a loved one need 24/7 care, the shared cost of a group home is the best option!  .  ‼️Follow our account for more tips on building an assisted living real estate business‼️ . #b#businessownera#assistedlivinge#eldercaree#entrepreneuri#inhomecareh#homecarer#residentsr#residentials#successl#livingl#livingathomeh#homey#youf#familyn#nursem#marketingr#ralr#ralacademym#mentorn#networkp#professionalc#createt#tracke#entrepreneuri#integrityr#residentialassistedlivingacademya#assistedlivingresidentialassi",False,,ral.academy,RALAcademy,,,,,,False,Elder Care,2020
337,7228338021349821738,2023-05-01T18:03:28,93.0,US,"Elderly Care, Care Givers, exercises, Caregivers Of TikTok, Training Motivation, Working As A Caregiver, Caregiver Life, Positive Motivation, Life As A Caregiver, Duties Of A Caregiver",1067.0,360.0,8.0,40400.0,#growingraceseniorliving #elderlycare #elderlyexercises #everydayisfunwithyou #mondaymotivation #caregiver #elderlyoftiktok ,False,,growingraceseniorliving,Kim,,,,,,False,Elder Care,2020
338,7148631562228092203,2022-09-28T23:01:34,148.0,US,"Elderly Care, Deodorant, Nurse Deodorant, Health Tips, Caregiving, Aluminum Free Deodorant, Body Deodorant, Care Givers, Nurse TikTok, roll on deodorant",32600.0,5542.0,442.0,428800.0,#TheElderly #elderlycaregiving  #t#takingcareoftheelderly#t#tipsandtricks#h#healthtipstiktok#h#healthytips#D#Deodorant#d#deodoranthackh#healthytipseverydaye#elderlyparent#e#elderlypeople#e#elderlycare,False,,tampaschall,🌹TammyPaschall🌹,,,,,,False,Elder Care,2020
339,7306350455871835438,2023-11-27T22:31:35,25.0,US,,36200.0,933.0,4972.0,676000.0,This is the conversation  we need to start having #eldercare ,False,,wellwithtiffany,Tiffany | 40+ Creator,,,,,,False,Elder Care,2020
340,7349967364408102165,2024-03-24T12:27:50,74.0,VN,,880.0,38.0,31.0,20800.0,Hoá ra mọi việc đều có thể giải quyết bằng tiền. Nếu quá khó thì chỉ cần rất nhiều tiền là được #LearnOnTikTok #dautu #vang #cophieu ,False,,haiphieulang189,Hải Phiêu Lãng,,,,,,False,Emergency Economic Stabilization Act (2008),2020
341,6969243263815437573,2021-06-02T13:03:18,9.0,US,,2307.0,12.0,43.0,19800.0,"Walk the walk, talk the talk #finbro #wallstreet #stonks",False,,natforprez,N A T | 辣椒妹,,,,,,False,Emergency Economic Stabilization Act (2008),2020
342,7284584535180741931,2023-09-30T07:49:12,59.0,US,,3.0,0.0,1.0,309.0,緊急經濟穩定法案#美国历史#喬治·W·布什總統#2007-2008年金融危機期間#EmergencyEconomicStabilization Actof2008#GeorgeWBush#2007–2008financialcrisis,False,,ky2009w,今日掌故,,,,,,False,Emergency Economic Stabilization Act (2008),2020
